parameter_key,input,max_absolute_correlation,median_absolute_correlation,affected_methods,affected_outputs,scope,method_id,parameter,coverage_class,evidence_ids,needs_research,gap_weight,priority_score,priority,research_question
methods.document_upload.minor_substitution_rate,minor_substitution_rate,0.7316472866489789,0.0036448405722899367,1,8,method,document_upload,minor_substitution_rate,context_only,ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-SUBSTITUTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.7316472866489789,P0-critical,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.facial_age_estimation.records_per_identity_proof,records_per_identity_proof,0.9735593287264799,0.007989726840795892,1,8,method,facial_age_estimation,records_per_identity_proof,official_guidance,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.73016949654486,P0-critical,Document each retained record created by the end-to-end verification data flow.
methods.reusable_age_token.minor_substitution_rate,minor_substitution_rate,0.725544767061322,0.003922682081937073,1,8,method,reusable_age_token,minor_substitution_rate,context_only,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-MINOR-SUBSTITUTION-RATE;GAP-METHOD-REUSABLE-AGE-TOKEN-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.725544767061322,P0-critical,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.photo_id_visual.minor_substitution_rate,minor_substitution_rate,0.7005041467476257,0.002736839207174736,1,5,method,photo_id_visual,minor_substitution_rate,context_only,ASSUMP-METHOD-PHOTO-ID-VISUAL-MINOR-SUBSTITUTION-RATE;GAP-METHOD-PHOTO-ID-VISUAL-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.7005041467476257,P0-critical,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.visual_estimation.minor_circumvention_rate,minor_circumvention_rate,0.558625005894298,0.004662760002473104,1,5,method,visual_estimation,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-VISUAL-ESTIMATION-MINOR-CIRCUMVENTION-RATE,True,1.25,0.6982812573678725,P0-critical,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.visual_estimation.minor_detection_rate,minor_detection_rate,0.5558202553999602,0.006772395206036959,1,5,method,visual_estimation,minor_detection_rate,explicit_gap,ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-DETECTION-RATE;GAP-METHOD-VISUAL-ESTIMATION-MINOR-DETECTION-RATE,True,1.25,0.6947753192499502,P0-critical,Measure initial underage detection under a defined policy and operating workflow.
methods.self_declaration.minor_circumvention_rate,minor_circumvention_rate,0.6912179751318793,0.003335895905366358,1,5,method,self_declaration,minor_circumvention_rate,context_only,ASSUMP-METHOD-SELF-DECLARATION-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-SELF-DECLARATION-MINOR-CIRCUMVENTION-RATE;CAI-GPEN-AGE-CONTROLS-2024,True,1.0,0.6912179751318793,P0-critical,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.document_upload.annual_breach_probability,annual_breach_probability,0.550584868792618,0.0015530094622532038,1,8,method,document_upload,annual_breach_probability,explicit_gap,ASSUMP-METHOD-DOCUMENT-UPLOAD-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-DOCUMENT-UPLOAD-ANNUAL-BREACH-PROBABILITY,True,1.25,0.6882310859907725,P0-critical,Estimate routine breach likelihood using comparable systems and security architecture.
methods.facial_age_estimation.minor_substitution_rate,minor_substitution_rate,0.6801270576188029,0.005128630130147453,1,8,method,facial_age_estimation,minor_substitution_rate,context_only,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-SUBSTITUTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.6801270576188029,P0-critical,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.reusable_age_token.annual_breach_probability,annual_breach_probability,0.5429575999753271,0.0022211211725524484,1,8,method,reusable_age_token,annual_breach_probability,explicit_gap,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-REUSABLE-AGE-TOKEN-ANNUAL-BREACH-PROBABILITY,True,1.25,0.6786969999691589,P0-critical,Estimate routine breach likelihood using comparable systems and security architecture.
methods.self_declaration.adult_abandonment_rate,adult_abandonment_rate,0.9022516394325488,0.011061875977160752,1,5,method,self_declaration,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-SELF-DECLARATION-ADULT-ABANDONMENT-RATE;GAP-METHOD-SELF-DECLARATION-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.6766887295744116,P0-critical,Measure lawful-adult abandonment before and during the verification workflow.
methods.document_upload.records_per_identity_proof,records_per_identity_proof,0.8921558992927985,0.004613330891541333,1,8,method,document_upload,records_per_identity_proof,official_guidance,ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.6691169244695989,P0-critical,Document each retained record created by the end-to-end verification data flow.
methods.in_person_enrolment.annual_breach_probability,annual_breach_probability,0.5350992883328237,0.003007397263154959,1,8,method,in_person_enrolment,annual_breach_probability,explicit_gap,ASSUMP-METHOD-IN-PERSON-ENROLMENT-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-IN-PERSON-ENROLMENT-ANNUAL-BREACH-PROBABILITY,True,1.25,0.6688741104160296,P0-critical,Estimate routine breach likelihood using comparable systems and security architecture.
methods.facial_age_estimation.minor_circumvention_rate,minor_circumvention_rate,0.5279263697277786,0.002252421588372969,1,8,method,facial_age_estimation,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-CIRCUMVENTION-RATE,True,1.25,0.6599079621597232,P0-critical,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.document_upload.record_retention_years,record_retention_years,0.8569042917005217,0.0020316734671646693,1,8,method,document_upload,record_retention_years,official_guidance,ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORD-RETENTION-YEARS;GAP-METHOD-DOCUMENT-UPLOAD-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.6426782187753913,P1-high,"Document contractual, technical, and legal retention periods."
scenario.higher_friction_adult_share,higher_friction_adult_share,0.6290567757153668,0.004248293896771318,7,8,scenario,ALL,higher_friction_adult_share,context_only,ASSUMP-SCENARIO-HIGHER-FRICTION-ADULT-SHARE;GAP-QC-HIGHER-FRICTION-SHARE;ESDC-GIS-PHOTO-ID-BARRIER-2019,True,1.0,0.6290567757153668,P1-high,Estimate how many lawful adult buyers face elevated identification or digital-access friction.
methods.in_person_enrolment.adult_abandonment_rate,adult_abandonment_rate,0.8043776425160232,0.0018569874962147954,1,8,method,in_person_enrolment,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-IN-PERSON-ENROLMENT-ADULT-ABANDONMENT-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.6032832318870174,P1-high,Measure lawful-adult abandonment before and during the verification workflow.
methods.reusable_age_token.adult_abandonment_rate,adult_abandonment_rate,0.8025277409772351,0.0013248955126579584,1,8,method,reusable_age_token,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-ADULT-ABANDONMENT-RATE;GAP-METHOD-REUSABLE-AGE-TOKEN-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.6018958057329263,P1-high,Measure lawful-adult abandonment before and during the verification workflow.
methods.photo_id_visual.adult_abandonment_rate,adult_abandonment_rate,0.7871764471004067,0.007830060479580025,1,5,method,photo_id_visual,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-PHOTO-ID-VISUAL-ADULT-ABANDONMENT-RATE;GAP-METHOD-PHOTO-ID-VISUAL-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.590382335325305,P1-high,Measure lawful-adult abandonment before and during the verification workflow.
methods.reusable_age_token.minor_circumvention_rate,minor_circumvention_rate,0.4720660252042505,0.006750194853756079,1,8,method,reusable_age_token,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-REUSABLE-AGE-TOKEN-MINOR-CIRCUMVENTION-RATE,True,1.25,0.5900825315053131,P1-high,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.facial_age_estimation.adult_false_rejection_rate,adult_false_rejection_rate,0.5834683864785715,0.007018745523767498,1,8,method,facial_age_estimation,adult_false_rejection_rate,context_only,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-FALSE-REJECTION-RATE;NIST-FATE-AEV-ONGOING-2026,True,1.0,0.5834683864785715,P1-high,"Measure lawful-adult false rejection using the actual threshold, devices, images, documents, and appeal process."
methods.document_upload.adult_abandonment_rate,adult_abandonment_rate,0.7728819697612169,0.0030669322011147734,1,8,method,document_upload,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-ABANDONMENT-RATE;GAP-METHOD-DOCUMENT-UPLOAD-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.5796614773209127,P1-high,Measure lawful-adult abandonment before and during the verification workflow.
methods.self_declaration.minor_detection_rate,minor_detection_rate,0.5765963712660945,0.0025789323051595733,1,5,method,self_declaration,minor_detection_rate,context_only,ASSUMP-METHOD-SELF-DECLARATION-MINOR-DETECTION-RATE;GAP-METHOD-SELF-DECLARATION-MINOR-DETECTION-RATE;CAI-GPEN-AGE-CONTROLS-2024,True,1.0,0.5765963712660945,P1-high,Measure initial underage detection under a defined policy and operating workflow.
methods.document_upload.minor_circumvention_rate,minor_circumvention_rate,0.43432562665494634,0.005402287579200915,1,8,method,document_upload,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-DOCUMENT-UPLOAD-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-MINOR-CIRCUMVENTION-RATE,True,1.25,0.542907033318683,P1-high,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.facial_age_estimation.annual_breach_probability,annual_breach_probability,0.4257089974715316,0.004598656029807463,1,8,method,facial_age_estimation,annual_breach_probability,explicit_gap,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-FACIAL-AGE-ESTIMATION-ANNUAL-BREACH-PROBABILITY,True,1.25,0.5321362468394145,P1-high,Estimate routine breach likelihood using comparable systems and security architecture.
scenario.minor_share,minor_share,0.5158313475895966,0.04737597519267839,7,8,scenario,ALL,minor_share,context_only,ASSUMP-SCENARIO-MINOR-SHARE;GAP-QC-MINOR-TRANSACTION-SHARE;INSPQ-QC-YOUTH-WEEKLY-2022-23;ISQ-QC-15-24-WEEKLY-2020-21,True,1.0,0.5158313475895966,P1-high,Estimate the share of relevant purchase attempts made by people under 16.
methods.facial_age_estimation.record_retention_years,record_retention_years,0.6862317004506527,0.0038241876515456756,1,8,method,facial_age_estimation,record_retention_years,official_guidance,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-RECORD-RETENTION-YEARS;GAP-METHOD-FACIAL-AGE-ESTIMATION-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.5146737753379895,P1-high,"Document contractual, technical, and legal retention periods."
methods.reusable_age_token.record_retention_years,record_retention_years,0.6773921701923329,0.005184304071657722,1,8,method,reusable_age_token,record_retention_years,official_guidance,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-RECORD-RETENTION-YEARS;GAP-METHOD-REUSABLE-AGE-TOKEN-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026;NIST-SP800-63-4-2025,True,0.75,0.5080441276442497,P1-high,"Document contractual, technical, and legal retention periods."
methods.in_person_enrolment.record_retention_years,record_retention_years,0.6559508693763964,0.003284916584369967,1,8,method,in_person_enrolment,record_retention_years,official_guidance,ASSUMP-METHOD-IN-PERSON-ENROLMENT-RECORD-RETENTION-YEARS;GAP-METHOD-IN-PERSON-ENROLMENT-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.49196315203229724,P1-high,"Document contractual, technical, and legal retention periods."
methods.photo_id_visual.minor_circumvention_rate,minor_circumvention_rate,0.3928220466467288,0.005156751371854701,1,5,method,photo_id_visual,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-PHOTO-ID-VISUAL-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-PHOTO-ID-VISUAL-MINOR-CIRCUMVENTION-RATE,True,1.25,0.49102755830841105,P1-high,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.facial_age_estimation.adult_abandonment_rate,adult_abandonment_rate,0.5999783868765033,0.0026594500704557804,1,8,method,facial_age_estimation,adult_abandonment_rate,official_guidance,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-ABANDONMENT-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.44998379015737744,P1-high,Measure lawful-adult abandonment before and during the verification workflow.
methods.in_person_enrolment.identity_proofing_rate,identity_proofing_rate,0.8138991891148077,0.08863671026700669,1,8,method,in_person_enrolment,identity_proofing_rate,legal_fact,ASSUMP-METHOD-IN-PERSON-ENROLMENT-IDENTITY-PROOFING-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-IDENTITY-PROOFING-RATE;LEGAL-QC-BILL9-REMOTE-SALES,True,0.55,0.4476445540131443,P1-high,Measure how often a transaction invokes full identity proofing rather than a reusable age assertion.
methods.visual_estimation.minor_substitution_rate,minor_substitution_rate,0.445099934023832,0.005070893032332357,1,5,method,visual_estimation,minor_substitution_rate,context_only,ASSUMP-METHOD-VISUAL-ESTIMATION-MINOR-SUBSTITUTION-RATE;GAP-METHOD-VISUAL-ESTIMATION-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.445099934023832,P1-high,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.reusable_age_token.identity_proofing_rate,identity_proofing_rate,0.8067400761704082,0.02611114237534046,1,8,method,reusable_age_token,identity_proofing_rate,legal_fact,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-IDENTITY-PROOFING-RATE;GAP-METHOD-REUSABLE-AGE-TOKEN-IDENTITY-PROOFING-RATE;LEGAL-QC-BILL9-REMOTE-SALES;NIST-SP800-63-4-2025;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.55,0.44370704189372456,P1-high,Measure how often a transaction invokes full identity proofing rather than a reusable age assertion.
methods.reusable_age_token.adult_false_rejection_rate,adult_false_rejection_rate,0.3431690403932037,0.004211078349748432,1,8,method,reusable_age_token,adult_false_rejection_rate,explicit_gap,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-REUSABLE-AGE-TOKEN-ADULT-FALSE-REJECTION-RATE,True,1.25,0.4289613004915046,P1-high,"Measure lawful-adult false rejection using the actual threshold, devices, images, documents, and appeal process."
methods.in_person_enrolment.minor_circumvention_rate,minor_circumvention_rate,0.3073088725632436,0.0050375479460630194,1,8,method,in_person_enrolment,minor_circumvention_rate,explicit_gap,ASSUMP-METHOD-IN-PERSON-ENROLMENT-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-MINOR-CIRCUMVENTION-RATE,True,1.25,0.38413609070405447,P2-medium,"Measure successful proxy purchase, document borrowing, cross-border, or channel switching after a block."
methods.visual_estimation.higher_friction_false_rejection_multiplier,higher_friction_false_rejection_multiplier,0.30288956470358785,0.007028493123963398,1,5,method,visual_estimation,higher_friction_false_rejection_multiplier,explicit_gap,ASSUMP-METHOD-VISUAL-ESTIMATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER;GAP-METHOD-VISUAL-ESTIMATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,True,1.25,0.3786119558794848,P2-medium,"Find direct, jurisdiction-matched evidence for this modeled parameter."
methods.facial_age_estimation.minor_detection_rate,minor_detection_rate,0.3631123336913249,0.006050882244020353,1,8,method,facial_age_estimation,minor_detection_rate,context_only,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-DETECTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-DETECTION-RATE;NIST-FATE-AEV-ONGOING-2026,True,1.0,0.3631123336913249,P2-medium,Measure initial underage detection under a defined policy and operating workflow.
methods.in_person_enrolment.records_per_identity_proof,records_per_identity_proof,0.4630759287857744,0.00418612596647445,1,8,method,in_person_enrolment,records_per_identity_proof,official_guidance,ASSUMP-METHOD-IN-PERSON-ENROLMENT-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.3473069465893308,P2-medium,Document each retained record created by the end-to-end verification data flow.
methods.reusable_age_token.records_per_identity_proof,records_per_identity_proof,0.46225559397322225,0.00598422106472969,1,8,method,reusable_age_token,records_per_identity_proof,official_guidance,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-REUSABLE-AGE-TOKEN-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.3466916954799167,P2-medium,Document each retained record created by the end-to-end verification data flow.
methods.document_upload.adult_false_rejection_rate,adult_false_rejection_rate,0.2539211718784325,0.0038585308526954127,1,8,method,document_upload,adult_false_rejection_rate,explicit_gap,ASSUMP-METHOD-DOCUMENT-UPLOAD-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-DOCUMENT-UPLOAD-ADULT-FALSE-REJECTION-RATE,True,1.25,0.3174014648480406,P2-medium,"Measure lawful-adult false rejection using the actual threshold, devices, images, documents, and appeal process."
methods.self_declaration.adult_false_rejection_rate,adult_false_rejection_rate,0.24734208348399286,0.002554711674109885,1,5,method,self_declaration,adult_false_rejection_rate,explicit_gap,ASSUMP-METHOD-SELF-DECLARATION-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-SELF-DECLARATION-ADULT-FALSE-REJECTION-RATE,True,1.25,0.3091776043549911,P2-medium,"Measure lawful-adult false rejection using the actual threshold, devices, images, documents, and appeal process."
methods.document_upload.higher_friction_abandonment_multiplier,higher_friction_abandonment_multiplier,0.40373990203452,0.00415432366711773,1,8,method,document_upload,higher_friction_abandonment_multiplier,official_guidance,ASSUMP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-DOCUMENT-UPLOAD-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.30280492652589,P2-medium,"Find direct, jurisdiction-matched evidence for this modeled parameter."
methods.in_person_enrolment.centralized_record_fraction,centralized_record_fraction,0.38759884860307164,0.006380991778040398,1,8,method,in_person_enrolment,centralized_record_fraction,official_guidance,ASSUMP-METHOD-IN-PERSON-ENROLMENT-CENTRALIZED-RECORD-FRACTION;GAP-METHOD-IN-PERSON-ENROLMENT-CENTRALIZED-RECORD-FRACTION;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,True,0.75,0.2906991364523037,P2-medium,Measure what fraction of records are centralized or linkable across relying parties.
methods.self_declaration.minor_substitution_rate,minor_substitution_rate,0.2901912918266045,0.0021229055977771624,1,5,method,self_declaration,minor_substitution_rate,context_only,ASSUMP-METHOD-SELF-DECLARATION-MINOR-SUBSTITUTION-RATE;GAP-METHOD-SELF-DECLARATION-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,True,1.0,0.2901912918266045,P2-medium,"Measure substitution from a blocked energy-drink purchase to other caffeinated, sugary, or informal products."
methods.in_person_enrolment.higher_friction_abandonment_multiplier,higher_friction_abandonment_multiplier,0.3596506042871563,0.006941740699384696,1,8,method,in_person_enrolment,higher_friction_abandonment_multiplier,official_guidance,ASSUMP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.2697379532153672,P2-medium,"Find direct, jurisdiction-matched evidence for this modeled parameter."
methods.photo_id_visual.higher_friction_abandonment_multiplier,higher_friction_abandonment_multiplier,0.3462309213783964,0.003967252473842902,1,5,method,photo_id_visual,higher_friction_abandonment_multiplier,official_guidance,ASSUMP-METHOD-PHOTO-ID-VISUAL-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-PHOTO-ID-VISUAL-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.25967319103379727,P2-medium,"Find direct, jurisdiction-matched evidence for this modeled parameter."
methods.reusable_age_token.higher_friction_abandonment_multiplier,higher_friction_abandonment_multiplier,0.3422832742242414,0.0055548572960299435,1,8,method,reusable_age_token,higher_friction_abandonment_multiplier,official_guidance,ASSUMP-METHOD-REUSABLE-AGE-TOKEN-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-REUSABLE-AGE-TOKEN-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,True,0.75,0.256712455668181,P2-medium,"Find direct, jurisdiction-matched evidence for this modeled parameter."
