scope,method_id,parameter,parameter_key,low,mode,high,evidence_ids,evidence_count,missing_evidence_ids,coverage_class,direct_empirical_count,contextual_count,assumption_count,gap_count,needs_research
method,document_upload,records_per_identity_proof,methods.document_upload.records_per_identity_proof,0.5,1.0,2.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,document_upload,third_party_disclosures_per_identity_proof,methods.document_upload.third_party_disclosures_per_identity_proof,1.0,1.0,2.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,document_upload,transient_images_per_identity_proof,methods.document_upload.transient_images_per_identity_proof,1.0,1.0,2.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-TRANSIENT-IMAGES-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,document_upload,variable_cost_per_check,methods.document_upload.variable_cost_per_check,0.05,0.15,0.4,ASSUMP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-CHECK;GAP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-CHECK;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,document_upload,variable_cost_per_identity_proof,methods.document_upload.variable_cost_per_identity_proof,0.25,0.6,1.25,ASSUMP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-IDENTITY-PROOF;GAP-METHOD-DOCUMENT-UPLOAD-VARIABLE-COST-PER-IDENTITY-PROOF;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,document_upload,verification_check_rate,methods.document_upload.verification_check_rate,0.9,1.0,1.0,ASSUMP-METHOD-DOCUMENT-UPLOAD-VERIFICATION-CHECK-RATE;GAP-METHOD-DOCUMENT-UPLOAD-VERIFICATION-CHECK-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,facial_age_estimation,adult_abandonment_rate,methods.facial_age_estimation.adult_abandonment_rate,0.03,0.07,0.17,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-ABANDONMENT-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,facial_age_estimation,adult_false_rejection_rate,methods.facial_age_estimation.adult_false_rejection_rate,0.025,0.07,0.16,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-ADULT-FALSE-REJECTION-RATE;NIST-FATE-AEV-ONGOING-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,age_assertions_per_check,methods.facial_age_estimation.age_assertions_per_check,0.0,0.0,0.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-AGE-ASSERTIONS-PER-CHECK;GAP-METHOD-FACIAL-AGE-ESTIMATION-AGE-ASSERTIONS-PER-CHECK;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,facial_age_estimation,annual_breach_probability,methods.facial_age_estimation.annual_breach_probability,0.001,0.01,0.04,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-FACIAL-AGE-ESTIMATION-ANNUAL-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,biometric_scans_per_identity_proof,methods.facial_age_estimation.biometric_scans_per_identity_proof,0.9,1.0,1.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,catastrophic_breach_probability,methods.facial_age_estimation.catastrophic_breach_probability,0.0001,0.001,0.01,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-CATASTROPHIC-BREACH-PROBABILITY;GAP-METHOD-FACIAL-AGE-ESTIMATION-CATASTROPHIC-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,catastrophic_exposure_fraction,methods.facial_age_estimation.catastrophic_exposure_fraction,0.25,0.75,1.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-CATASTROPHIC-EXPOSURE-FRACTION;GAP-METHOD-FACIAL-AGE-ESTIMATION-CATASTROPHIC-EXPOSURE-FRACTION,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,centralized_record_fraction,methods.facial_age_estimation.centralized_record_fraction,0.2,0.4,0.8,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-CENTRALIZED-RECORD-FRACTION;GAP-METHOD-FACIAL-AGE-ESTIMATION-CENTRALIZED-RECORD-FRACTION;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,facial_age_estimation,fixed_annual_cost,methods.facial_age_estimation.fixed_annual_cost,20000.0,40000.0,120000.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-FIXED-ANNUAL-COST;GAP-METHOD-FACIAL-AGE-ESTIMATION-FIXED-ANNUAL-COST,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,higher_friction_abandonment_multiplier,methods.facial_age_estimation.higher_friction_abandonment_multiplier,1.3,1.8,3.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-FACIAL-AGE-ESTIMATION-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,facial_age_estimation,higher_friction_false_rejection_multiplier,methods.facial_age_estimation.higher_friction_false_rejection_multiplier,1.4,2.0,3.5,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER;GAP-METHOD-FACIAL-AGE-ESTIMATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER;NIST-FATE-AEV-ONGOING-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,identity_proofing_rate,methods.facial_age_estimation.identity_proofing_rate,0.9,1.0,1.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-IDENTITY-PROOFING-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-IDENTITY-PROOFING-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,facial_age_estimation,minor_circumvention_rate,methods.facial_age_estimation.minor_circumvention_rate,0.12,0.28,0.5,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-CIRCUMVENTION-RATE,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,minor_detection_rate,methods.facial_age_estimation.minor_detection_rate,0.65,0.85,0.96,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-DETECTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-DETECTION-RATE;NIST-FATE-AEV-ONGOING-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,minor_substitution_rate,methods.facial_age_estimation.minor_substitution_rate,0.15,0.4,0.7,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-SUBSTITUTION-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,record_retention_years,methods.facial_age_estimation.record_retention_years,0.05,0.25,2.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-RECORD-RETENTION-YEARS;GAP-METHOD-FACIAL-AGE-ESTIMATION-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,facial_age_estimation,records_per_identity_proof,methods.facial_age_estimation.records_per_identity_proof,0.02,0.15,0.8,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,facial_age_estimation,third_party_disclosures_per_identity_proof,methods.facial_age_estimation.third_party_disclosures_per_identity_proof,1.0,1.0,2.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,facial_age_estimation,transient_images_per_identity_proof,methods.facial_age_estimation.transient_images_per_identity_proof,1.0,1.0,1.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-TRANSIENT-IMAGES-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,facial_age_estimation,variable_cost_per_check,methods.facial_age_estimation.variable_cost_per_check,0.04,0.1,0.3,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-VARIABLE-COST-PER-CHECK;GAP-METHOD-FACIAL-AGE-ESTIMATION-VARIABLE-COST-PER-CHECK;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,variable_cost_per_identity_proof,methods.facial_age_estimation.variable_cost_per_identity_proof,0.08,0.25,0.7,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-VARIABLE-COST-PER-IDENTITY-PROOF;GAP-METHOD-FACIAL-AGE-ESTIMATION-VARIABLE-COST-PER-IDENTITY-PROOF;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,facial_age_estimation,verification_check_rate,methods.facial_age_estimation.verification_check_rate,0.9,1.0,1.0,ASSUMP-METHOD-FACIAL-AGE-ESTIMATION-VERIFICATION-CHECK-RATE;GAP-METHOD-FACIAL-AGE-ESTIMATION-VERIFICATION-CHECK-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,in_person_enrolment,adult_abandonment_rate,methods.in_person_enrolment.adult_abandonment_rate,0.15,0.28,0.48,ASSUMP-METHOD-IN-PERSON-ENROLMENT-ADULT-ABANDONMENT-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,in_person_enrolment,adult_false_rejection_rate,methods.in_person_enrolment.adult_false_rejection_rate,0.005,0.015,0.05,ASSUMP-METHOD-IN-PERSON-ENROLMENT-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-ADULT-FALSE-REJECTION-RATE,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,age_assertions_per_check,methods.in_person_enrolment.age_assertions_per_check,0.5,1.0,1.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-AGE-ASSERTIONS-PER-CHECK;GAP-METHOD-IN-PERSON-ENROLMENT-AGE-ASSERTIONS-PER-CHECK;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,in_person_enrolment,annual_breach_probability,methods.in_person_enrolment.annual_breach_probability,0.001,0.005,0.025,ASSUMP-METHOD-IN-PERSON-ENROLMENT-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-IN-PERSON-ENROLMENT-ANNUAL-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,biometric_scans_per_identity_proof,methods.in_person_enrolment.biometric_scans_per_identity_proof,0.0,0.0,0.2,ASSUMP-METHOD-IN-PERSON-ENROLMENT-BIOMETRIC-SCANS-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,catastrophic_breach_probability,methods.in_person_enrolment.catastrophic_breach_probability,0.0001,0.0008,0.008,ASSUMP-METHOD-IN-PERSON-ENROLMENT-CATASTROPHIC-BREACH-PROBABILITY;GAP-METHOD-IN-PERSON-ENROLMENT-CATASTROPHIC-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,catastrophic_exposure_fraction,methods.in_person_enrolment.catastrophic_exposure_fraction,0.2,0.6,1.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-CATASTROPHIC-EXPOSURE-FRACTION;GAP-METHOD-IN-PERSON-ENROLMENT-CATASTROPHIC-EXPOSURE-FRACTION,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,centralized_record_fraction,methods.in_person_enrolment.centralized_record_fraction,0.2,0.5,0.9,ASSUMP-METHOD-IN-PERSON-ENROLMENT-CENTRALIZED-RECORD-FRACTION;GAP-METHOD-IN-PERSON-ENROLMENT-CENTRALIZED-RECORD-FRACTION;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,in_person_enrolment,fixed_annual_cost,methods.in_person_enrolment.fixed_annual_cost,75000.0,150000.0,400000.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-FIXED-ANNUAL-COST;GAP-METHOD-IN-PERSON-ENROLMENT-FIXED-ANNUAL-COST,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,higher_friction_abandonment_multiplier,methods.in_person_enrolment.higher_friction_abandonment_multiplier,1.8,2.7,4.5,ASSUMP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;GAP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,in_person_enrolment,higher_friction_false_rejection_multiplier,methods.in_person_enrolment.higher_friction_false_rejection_multiplier,1.8,2.5,4.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER;GAP-METHOD-IN-PERSON-ENROLMENT-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,identity_proofing_rate,methods.in_person_enrolment.identity_proofing_rate,0.05,0.18,0.4,ASSUMP-METHOD-IN-PERSON-ENROLMENT-IDENTITY-PROOFING-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-IDENTITY-PROOFING-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,in_person_enrolment,minor_circumvention_rate,methods.in_person_enrolment.minor_circumvention_rate,0.03,0.1,0.25,ASSUMP-METHOD-IN-PERSON-ENROLMENT-MINOR-CIRCUMVENTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-MINOR-CIRCUMVENTION-RATE,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,minor_detection_rate,methods.in_person_enrolment.minor_detection_rate,0.94,0.985,0.999,ASSUMP-METHOD-IN-PERSON-ENROLMENT-MINOR-DETECTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-MINOR-DETECTION-RATE,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,minor_substitution_rate,methods.in_person_enrolment.minor_substitution_rate,0.15,0.45,0.75,ASSUMP-METHOD-IN-PERSON-ENROLMENT-MINOR-SUBSTITUTION-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-MINOR-SUBSTITUTION-RATE;INSPQ-QC-SUBSTITUTION-WARNING-2026,3,,context_only,0,1,1,1,True
method,in_person_enrolment,record_retention_years,methods.in_person_enrolment.record_retention_years,0.5,2.0,7.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-RECORD-RETENTION-YEARS;GAP-METHOD-IN-PERSON-ENROLMENT-RECORD-RETENTION-YEARS;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,in_person_enrolment,records_per_identity_proof,methods.in_person_enrolment.records_per_identity_proof,0.5,1.0,1.5,ASSUMP-METHOD-IN-PERSON-ENROLMENT-RECORDS-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-RECORDS-PER-IDENTITY-PROOF;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
method,in_person_enrolment,third_party_disclosures_per_identity_proof,methods.in_person_enrolment.third_party_disclosures_per_identity_proof,0.2,0.5,1.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,in_person_enrolment,transient_images_per_identity_proof,methods.in_person_enrolment.transient_images_per_identity_proof,0.0,0.5,1.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-TRANSIENT-IMAGES-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,in_person_enrolment,variable_cost_per_check,methods.in_person_enrolment.variable_cost_per_check,0.05,0.15,0.5,ASSUMP-METHOD-IN-PERSON-ENROLMENT-VARIABLE-COST-PER-CHECK;GAP-METHOD-IN-PERSON-ENROLMENT-VARIABLE-COST-PER-CHECK;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,in_person_enrolment,variable_cost_per_identity_proof,methods.in_person_enrolment.variable_cost_per_identity_proof,2.0,5.0,15.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-VARIABLE-COST-PER-IDENTITY-PROOF;GAP-METHOD-IN-PERSON-ENROLMENT-VARIABLE-COST-PER-IDENTITY-PROOF;QC-MIN-WAGE-2026,3,,context_only,0,1,1,1,True
method,in_person_enrolment,verification_check_rate,methods.in_person_enrolment.verification_check_rate,0.85,1.0,1.0,ASSUMP-METHOD-IN-PERSON-ENROLMENT-VERIFICATION-CHECK-RATE;GAP-METHOD-IN-PERSON-ENROLMENT-VERIFICATION-CHECK-RATE;LEGAL-QC-BILL9-REMOTE-SALES,3,,legal_fact,0,0,1,1,True
method,no_verification,adult_abandonment_rate,methods.no_verification.adult_abandonment_rate,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-ADULT-ABANDONMENT-RATE;GAP-METHOD-NO-VERIFICATION-ADULT-ABANDONMENT-RATE;W3C-WCAG22-AUTH-3-3-8,3,,official_guidance,0,0,1,1,True
method,no_verification,adult_false_rejection_rate,methods.no_verification.adult_false_rejection_rate,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-ADULT-FALSE-REJECTION-RATE;GAP-METHOD-NO-VERIFICATION-ADULT-FALSE-REJECTION-RATE,2,,explicit_gap,0,0,1,1,True
method,no_verification,age_assertions_per_check,methods.no_verification.age_assertions_per_check,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-AGE-ASSERTIONS-PER-CHECK;GAP-METHOD-NO-VERIFICATION-AGE-ASSERTIONS-PER-CHECK;OPC-AA-MINIMIZATION-APPEAL-2026,3,,official_guidance,0,0,1,1,True
method,no_verification,annual_breach_probability,methods.no_verification.annual_breach_probability,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-ANNUAL-BREACH-PROBABILITY;GAP-METHOD-NO-VERIFICATION-ANNUAL-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,no_verification,biometric_scans_per_identity_proof,methods.no_verification.biometric_scans_per_identity_proof,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF;GAP-METHOD-NO-VERIFICATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,2,,explicit_gap,0,0,1,1,True
method,no_verification,catastrophic_breach_probability,methods.no_verification.catastrophic_breach_probability,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-CATASTROPHIC-BREACH-PROBABILITY;GAP-METHOD-NO-VERIFICATION-CATASTROPHIC-BREACH-PROBABILITY,2,,explicit_gap,0,0,1,1,True
method,no_verification,catastrophic_exposure_fraction,methods.no_verification.catastrophic_exposure_fraction,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-CATASTROPHIC-EXPOSURE-FRACTION;GAP-METHOD-NO-VERIFICATION-CATASTROPHIC-EXPOSURE-FRACTION,2,,explicit_gap,0,0,1,1,True
method,no_verification,centralized_record_fraction,methods.no_verification.centralized_record_fraction,0.0,0.0,0.0,ASSUMP-METHOD-NO-VERIFICATION-CENTRALIZED-RECORD-FRACTION;GAP-METHOD-NO-VERIFICATION-CENTRALIZED-RECORD-FRACTION;OPC-AA-PROPORTIONALITY-2026;OPC-AA-MINIMIZATION-APPEAL-2026,4,,official_guidance,0,0,1,1,True
