evidence_id,parameter,method,relationship,estimate_low,estimate_central,estimate_high,unit,source_title,source_url,source_type,jurisdiction,population,measurement_start,measurement_end,retrieved_on,independence,status,confidence,transferability,limitations,notes
HEALTHCAN-CED-UNDER14-WARNING,product_warning_context,ALL,contextual,14,14,14,years,Caffeinated energy drinks,https://www.canada.ca/en/health-canada/services/food-nutrition/supplemented-foods/caffeinated-energy-drinks.html,federal_regulatory_guidance,Canada,Consumers of caffeinated energy drinks,,,2026-07-22,official_source,official_guidance,high,moderate,A mandatory caution statement is not a sales prohibition or outcome estimate.,Labels must state that the products are not recommended for people under 14.
NIST-FATE-AEV-ONGOING-2026,facial_age_estimation_performance,facial_age_estimation,contextual,,,,,Face Analysis Technology Evaluation: Age Estimation and Verification,https://pages.nist.gov/frvt/html/frvt_age_estimation.html,government_technical_evaluation,United States and international datasets,Subjects represented in NIST evaluation datasets,,2026,2026-07-22,independent_government_evaluation,empirical,high,low,"Performance varies by algorithm, dataset, image quality, age, sex, and region. Published thresholds do not directly estimate a Quebec retail threshold of 16.","Use algorithm-specific, threshold-specific tables rather than a generic accuracy claim."
OPC-AA-PROPORTIONALITY-2026,privacy_design,ALL,guidance,,,,,Assessing whether and how to use age assurance,https://www.priv.gc.ca/en/privacy-topics/age-assurance/aa-gd-web/,privacy_regulator_guidance,Canada,Websites and online services using age assurance,,2026,2026-07-22,privacy_regulator,official_guidance,high,moderate,"Written for online services, not specifically Quebec energy-drink retail.","Age assurance should be risk-based, proportionate, and no more information should be collected than necessary."
OPC-AA-MINIMIZATION-APPEAL-2026,privacy_and_redress_design,ALL,guidance,,,,,Assessing whether and how to use age assurance,https://www.priv.gc.ca/en/privacy-topics/age-assurance/aa-gd-web/,privacy_regulator_guidance,Canada,Users subject to online age assurance,,2026,2026-07-22,privacy_regulator,official_guidance,high,moderate,"Does not quantify false rejection, retention, or disclosure rates.","Guidance calls for purpose limitation, destruction as soon as possible, anti-linkability, appeals, user options, and infrequent authentication."
NIST-SP800-63-4-2025,digital_identity_architecture,reusable_age_token,guidance,,,,,NIST SP 800-63-4 Digital Identity Guidelines,https://pages.nist.gov/800-63-4/,government_technical_standard,United States,Digital identity systems,,2025,2026-07-22,government_standard,official_guidance,high,moderate,"General digital identity guidance, not a Quebec age-token implementation or empirical cost estimate.","Useful for threat modeling, assurance levels, federation, and wallet architecture."
W3C-WCAG22-AUTH-3-3-8,accessibility_design,ALL,guidance,,,,,WCAG 2.2 Understanding Success Criterion 3.3.8: Accessible Authentication (Minimum),https://www.w3.org/WAI/WCAG22/Understanding/accessible-authentication-minimum.html,accessibility_standard_guidance,International,"People using authentication systems, including people with cognitive disabilities",,,2026-07-22,standards_body,official_guidance,high,moderate,Applies to authentication design and does not estimate age-assurance abandonment rates.,Authentication must not require a cognitive function test without an alternative or assistance mechanism.
QC-MIN-WAGE-2026,retail_labour_cost_floor,ALL,contextual,16.60,16.60,16.60,CAD per hour,"Le taux général du salaire minimum passera à 16,60 $ l'heure le 1er mai 2026",https://www.quebec.ca/nouvelles/actualites/details/le-taux-general-du-salaire-minimum-passera-a-1660-lheure-le-1er-mai-2026-68123,official_labour_announcement,Quebec,Workers paid the general minimum wage,2026-05-01,,2026-07-22,official_source,legal_fact,high,moderate,Minimum wage is not total loaded labour cost and does not measure time per verification.,Useful as a transparent lower-bound context for staff-time costing.
ESDC-GIS-PHOTO-ID-BARRIER-2019,higher_friction_adult_share,photo_id_visual,contextual,0.26,0.26,0.26,share reporting no picture ID,"Evaluation of the Guaranteed Income Supplement, Phase 2",https://www.canada.ca/en/employment-social-development/corporate/reports/evaluations/guaranteed-income-supplement-phase-02.html,federal_program_evaluation,Canada,Sample of non-tax-filing seniors who were GIS eligible or receiving GIS,2019-01-29,2019-05-31,2026-07-22,government_program_evaluation,empirical,moderate,low,"Highly selected older population, not representative of Quebec adult energy-drink buyers.",Twenty-six percent reported not having picture ID. Included only to demonstrate that ID access barriers can be substantial in some groups.
CAI-GPEN-AGE-CONTROLS-2024,minor_circumvention_rate,self_declaration,contextual,0.72,0.72,0.72,share of assessed age controls circumvented,Commission d’accès à l’information participation in GPEN youth privacy sweep,https://www.cai.gouv.qc.ca/actualites/participation-commission-au-ratissage-global-privacy-enforcement-network-sur-la-vie-privee-jeunes,privacy_regulator_sweep,International sweep reported by Quebec regulator,Assessed websites and applications,2024,2024,2026-07-22,privacy_regulator,empirical,moderate,low,"Website and app controls are not retail energy-drink transactions; the unit is systems assessed, not user attempts.","Useful only as context for weak self-declaration and circumvention, not as a direct model estimate."
ASSUMP-SCENARIO-POPULATION,population,ALL,assumption,100000,100000,100000,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-SCENARIO-PURCHASE-ATTEMPT-RATE,purchase_attempt_rate,ALL,assumption,0.18,0.25,0.34,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-SCENARIO-MINOR-SHARE,minor_share,ALL,assumption,0.13,0.16,0.2,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-SCENARIO-HIGHER-FRICTION-ADULT-SHARE,higher_friction_adult_share,ALL,assumption,0.06,0.1,0.16,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-MINOR-DETECTION-RATE,minor_detection_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-MINOR-CIRCUMVENTION-RATE,minor_circumvention_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-MINOR-SUBSTITUTION-RATE,minor_substitution_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-ADULT-FALSE-REJECTION-RATE,adult_false_rejection_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-ADULT-ABANDONMENT-RATE,adult_abandonment_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,higher_friction_false_rejection_multiplier,no_verification,assumption,1.0,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER,higher_friction_abandonment_multiplier,no_verification,assumption,1.0,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-VERIFICATION-CHECK-RATE,verification_check_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-IDENTITY-PROOFING-RATE,identity_proofing_rate,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-RECORDS-PER-IDENTITY-PROOF,records_per_identity_proof,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-ANNUAL-BREACH-PROBABILITY,annual_breach_probability,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-CATASTROPHIC-BREACH-PROBABILITY,catastrophic_breach_probability,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-CATASTROPHIC-EXPOSURE-FRACTION,catastrophic_exposure_fraction,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF,third_party_disclosures_per_identity_proof,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,biometric_scans_per_identity_proof,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,transient_images_per_identity_proof,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-AGE-ASSERTIONS-PER-CHECK,age_assertions_per_check,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-CENTRALIZED-RECORD-FRACTION,centralized_record_fraction,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-RECORD-RETENTION-YEARS,record_retention_years,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-VARIABLE-COST-PER-CHECK,variable_cost_per_check,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-VARIABLE-COST-PER-IDENTITY-PROOF,variable_cost_per_identity_proof,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-NO-VERIFICATION-FIXED-ANNUAL-COST,fixed_annual_cost,no_verification,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-MINOR-DETECTION-RATE,minor_detection_rate,self_declaration,assumption,0.05,0.12,0.2,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-MINOR-CIRCUMVENTION-RATE,minor_circumvention_rate,self_declaration,assumption,0.7,0.82,0.95,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-MINOR-SUBSTITUTION-RATE,minor_substitution_rate,self_declaration,assumption,0.1,0.3,0.55,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-ADULT-FALSE-REJECTION-RATE,adult_false_rejection_rate,self_declaration,assumption,0.0,0.001,0.004,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-ADULT-ABANDONMENT-RATE,adult_abandonment_rate,self_declaration,assumption,0.001,0.005,0.015,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-HIGHER-FRICTION-FALSE-REJECTION-MULTIPLIER,higher_friction_false_rejection_multiplier,self_declaration,assumption,1.0,1.1,1.4,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-HIGHER-FRICTION-ABANDONMENT-MULTIPLIER,higher_friction_abandonment_multiplier,self_declaration,assumption,1.0,1.2,1.8,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-VERIFICATION-CHECK-RATE,verification_check_rate,self_declaration,assumption,0.9,1.0,1.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-IDENTITY-PROOFING-RATE,identity_proofing_rate,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-RECORDS-PER-IDENTITY-PROOF,records_per_identity_proof,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-ANNUAL-BREACH-PROBABILITY,annual_breach_probability,self_declaration,assumption,0.0,0.001,0.005,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-CATASTROPHIC-BREACH-PROBABILITY,catastrophic_breach_probability,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-CATASTROPHIC-EXPOSURE-FRACTION,catastrophic_exposure_fraction,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-THIRD-PARTY-DISCLOSURES-PER-IDENTITY-PROOF,third_party_disclosures_per_identity_proof,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-BIOMETRIC-SCANS-PER-IDENTITY-PROOF,biometric_scans_per_identity_proof,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-TRANSIENT-IMAGES-PER-IDENTITY-PROOF,transient_images_per_identity_proof,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-AGE-ASSERTIONS-PER-CHECK,age_assertions_per_check,self_declaration,assumption,0.0,0.0,0.0,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-CENTRALIZED-RECORD-FRACTION,centralized_record_fraction,self_declaration,assumption,0.0,0.0,0.2,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-RECORD-RETENTION-YEARS,record_retention_years,self_declaration,assumption,0.0,0.0,0.25,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
ASSUMP-METHOD-SELF-DECLARATION-VARIABLE-COST-PER-CHECK,variable_cost_per_check,self_declaration,assumption,0.001,0.005,0.02,model units,,,analyst_selected_range,Hypothetical Quebec-style scenario,Normalized model population,,,2026-07-22,analyst_assumption,analyst_assumption,illustrative,not_applicable,Not an empirical estimate. Included to exercise the model and expose evidence priorities.,Replace or bound with direct evidence before policy use.
